0,1,2,3,4,label
0.6793126,-0.07530689,-0.18633197,0.54881036,-0.8046363,1
-0.32424396,0.6420358,0.05527638,0.7094999,-0.75728136,0
-0.012613326,0.67091936,-0.34285644,0.7110661,-0.7673804,0
-0.09170067,0.52994394,-0.3323593,0.6241811,-0.82769257,1
-0.08608207,0.61784095,0.09493551,0.71327764,-0.6995306,0
0.5410309,0.85157585,0.18140617,0.60237306,-0.7971493,1
0.77918017,0.43362772,-0.05412498,0.63196105,-0.7937469,0
0.12421477,0.28499216,-0.1994893,0.6816358,-0.78253007,0
0.38219133,0.52486897,-0.57618225,0.40318984,-0.8710577,1
0.28587475,0.37562037,-0.35094756,0.8543786,-0.6823465,1
-0.10849902,0.6327832,-0.31098545,0.66049945,-0.81944245,1
0.87374634,0.16151932,-0.61696434,0.4985394,-0.847544,1
-0.3537386,0.5577949,-0.07656259,0.47764385,-0.8986331,1
0.8855464,0.18130194,0.022363499,0.60263413,-0.8023663,1
0.08985485,0.25887716,-0.25806534,0.77611405,-0.74632865,0
0.46242017,0.21528976,-0.09998954,0.6763874,-0.75645006,0
-0.44619185,0.3090581,0.26551962,0.555818,-0.83886164,0
-0.35140854,0.53451407,-0.23964861,0.50901747,-0.8880304,1
0.19756544,-0.30213737,-0.5227115,0.51273465,-0.7835166,1
0.27523643,-0.8266908,-0.3506497,0.4706247,-0.8044059,1
-0.13530001,0.006142527,0.3447215,0.7953223,-0.68092525,1
-0.40570486,0.6928093,-0.2616215,0.39140257,-0.9601711,1
0.11747867,0.59324145,-0.40838933,0.76479346,-0.7499322,1
0.4327958,0.84077364,-0.026566982,0.4776065,-0.8588444,1
0.14878532,0.3294358,-0.36357096,0.76892096,-0.7635739,0
0.44496614,0.6351637,-0.4452073,0.4656723,-0.87079275,1
-0.042195648,0.6727838,0.31891018,0.2599956,-0.9401804,0
0.79831403,0.39494485,-0.22863719,0.55885506,-0.83009875,1
0.69945896,0.45340544,0.0021524876,0.6391187,-0.7869784,0
0.74326336,0.320009,-0.15225613,0.5759789,-0.8221926,0
-0.076015174,0.5802742,-0.23312782,0.7341528,-0.76292056,1
0.73519933,0.55309486,0.034198746,0.6459933,-0.78451186,0
0.5033497,0.7606149,-0.17407313,0.69135493,-0.7707285,0
0.94716394,0.29797444,-0.05707982,0.5862156,-0.8192391,1
-0.08660233,0.79707205,-0.5662324,0.6470932,-0.8559292,0
0.010690838,0.33291814,0.48253405,0.73422617,-0.7077965,0
0.16290402,0.3900759,-0.257142,0.73188627,-0.7349569,1
0.6446676,0.8222469,0.0050549954,0.53780067,-0.8272569,1
0.7181939,0.45914415,-0.08368868,0.67774814,-0.7777493,0
0.04853502,-0.060321987,-0.09040136,0.6739388,-0.79698205,1
0.59751534,0.5474287,-0.22512576,0.69669867,-0.77277124,0
0.6143148,0.48406082,0.013013929,0.74850017,-0.71498877,0
-0.27963936,0.63016295,-0.1780297,0.6262394,-0.8112555,1
-0.09282377,0.7742175,-0.2600956,0.5374655,-0.8684179,0
0.6702528,0.37373754,-0.45726976,0.56153345,-0.802826,0
0.047602177,-0.15889835,-0.09184824,0.58183205,-0.83942866,0
0.922226,0.5668044,-0.028671145,0.6133346,-0.80498284,0
0.24006835,0.38674304,-0.4465982,0.7243606,-0.7822382,0
-0.0037092566,-0.18464416,-0.13182256,0.7513274,-0.75918776,0
0.7271292,0.25627387,0.0901348,0.6264061,-0.7904453,0
0.8278019,0.14102045,-0.1977162,0.5494488,-0.82600856,0
0.68925756,0.46867105,-0.018115014,0.63045835,-0.79221207,0
-0.22477877,0.45875135,0.06865232,0.7075629,-0.7560033,0
0.58918434,0.6656227,-0.14369227,0.49951386,-0.8475153,1
0.6238643,0.6223965,-0.42488134,0.69688684,-0.7709401,1
0.10838166,0.35245407,-0.3138532,0.753996,-0.7684221,1
0.66510427,0.54880893,-0.23750529,0.7167257,-0.7557269,0
0.11233875,0.024805278,-0.5244423,0.6213257,-0.83790773,1
0.40282363,0.59204024,0.0810239,0.44184232,-0.870078,1
0.71731853,0.7699619,0.2256695,0.535199,-0.8284021,1
0.55060583,0.4405153,0.045886174,0.76359135,-0.7161175,0
0.56540364,0.77309024,-0.36774534,0.66259885,-0.78416663,0
-0.32381338,0.46935138,-0.07136337,0.5093912,-0.8741152,1
-0.20375085,0.40440896,-0.055074617,0.6589096,-0.793145,1
0.31853962,0.8008009,0.12858146,0.6569225,-0.7712067,0
0.60460705,0.33410522,-0.102009475,0.5724489,-0.79092896,1
0.34914473,0.7096752,0.0057188272,0.46419132,-0.86964893,1
-0.051391125,-0.18467927,0.043836474,0.59806496,-0.8162801,1
0.57959557,0.26938754,0.35392755,0.59956473,-0.77759176,0
0.8618425,0.56574315,-0.24053869,0.59054786,-0.8156678,1
-0.1626383,0.58268225,-0.02076736,0.76255834,-0.7551395,0
0.65833724,0.27327162,-0.235888,0.70136255,-0.768498,0
0.002309233,-0.71152127,0.21465084,0.5807135,-0.6968006,1
0.1676181,0.3695439,-0.5111597,0.7020695,-0.7969175,1
0.34697208,0.9602178,-0.25951642,0.57385963,-0.82972324,0
-0.3786524,0.7663955,0.18685994,0.57112163,-0.7669851,0
0.7531532,0.6886312,-0.09630173,0.4699632,-0.8740201,1
-0.13746387,0.71305585,-0.167847,0.6960278,-0.8000376,0
-0.0722875,-0.06050104,-0.18103023,0.6421776,-0.80735797,1
0.8626031,0.4495025,-0.03026411,0.5973329,-0.809616,1
0.4939251,0.59055036,-0.19849497,0.69306093,-0.7565488,0
0.106575534,0.30361438,-0.40830356,0.7488445,-0.78993475,0
0.10231879,0.35171187,-0.3690541,0.7331383,-0.7827093,0
-0.11380789,0.78983676,-0.27103892,0.55857736,-0.8527538,0
0.610996,0.017374963,0.27179077,0.5805771,-0.7900367,1
-0.30348366,0.5576352,-0.3556799,0.4285388,-0.947739,1
0.6759311,0.12320638,-0.34521466,0.539637,-0.81230205,1
0.4498158,0.3590554,0.24246454,0.78420174,-0.68658525,0
