0,1,2,label
-0.29317567,0.69712424,-0.88115364,2
-0.8401896,0.0067628473,-0.83369684,1
-0.8508086,0.14447686,-0.78848904,1
-0.76731926,0.4213831,-0.75309134,1
-0.40130123,0.6044581,-0.8738924,1
-0.8420137,-0.05129093,-0.8867045,0
-0.8087094,0.15208137,-0.7868907,1
-0.935287,-0.23663297,-0.897325,0
-0.7744765,0.20374252,-0.8120334,1
-0.8216002,0.13103132,-0.8267021,1
-0.811648,-0.14807796,-0.9415642,0
-0.91015303,-0.15118247,-0.9050028,0
-0.7104541,0.4588803,-0.79371107,0
-0.64681333,0.57351303,-0.79811394,1
-0.77814054,0.188487,-0.84724283,1
-0.21846798,0.6038084,-0.89484876,2
0.22701979,-0.47226852,-0.7454519,2
0.030681014,0.4479978,-0.92686373,2
-0.77261084,0.33893636,-0.77561027,1
-0.38305777,0.47974324,-0.919604,2
0.26956296,0.25513315,-0.81231195,2
0.75547725,-0.7574212,-0.7509444,2
-0.03520763,0.22962992,-0.8760621,2
-0.2632237,0.49624568,-0.8712594,2
-0.856678,0.3508919,-0.7201015,1
-0.7037786,0.15793549,-0.85268664,1
-0.816928,0.28502,-0.76640606,1
-0.82382154,0.07564736,-0.8085339,1
0.17828345,-0.40917748,-0.803905,2
-0.052112192,0.4287786,-0.86453265,2
-0.896483,-0.19926807,-0.88866913,0
-0.37620476,0.23629683,-0.8760761,0
-0.8028909,0.17887321,-0.8050307,1
0.1971277,-0.25715455,-0.8797484,2
0.5181461,-0.08663437,-0.7358957,2
-0.10703531,0.67184067,-0.9358877,2
-0.88193107,-0.18614563,-0.9088561,0
-0.68974257,0.39685532,-0.8230783,1
-0.8722637,0.038992926,-0.828345,1
-0.81092787,0.114942,-0.82552344,1
-0.046235383,0.5445329,-0.9377549,2
-0.5264742,0.5863502,-0.8374913,1
-0.5676991,0.48061725,-0.8554605,2
-0.896927,-0.008806452,-0.8467,0
-0.89090925,-0.24040201,-0.92240334,1
-0.8514186,-0.10248268,-0.8812527,1
-0.1241833,0.65193236,-0.9430126,2
-0.81285226,0.13830759,-0.82791615,1
0.08011538,0.75659484,-0.8743828,2
-0.30190203,-0.060797796,-0.9851615,0
-0.8338183,0.069492534,-0.8424049,1
-0.8104256,0.14676394,-0.8146915,1
-0.10520375,-0.8716086,-0.8909782,0
-0.7830374,0.21401563,-0.83923304,0
-0.7885883,0.5078647,-0.72203493,1
-0.7414714,0.009221733,-0.9015283,0
-0.85424656,0.058709666,-0.81333226,1
-0.080394536,-0.06102711,-0.9089105,0
-0.50163466,0.48423436,-0.8499076,1
-0.03894368,0.47711542,-0.93466,2
-0.7923555,0.12008013,-0.86231333,1
-0.26848072,0.35217363,-0.9376514,2
-0.8542268,0.1211804,-0.8064708,0
-0.732668,-0.1176838,-0.94158316,0
-0.7624806,0.17766806,-0.839974,1
-0.8015745,0.13545185,-0.81025827,0
-0.62172633,-0.084397435,-0.98169154,0
-0.8085592,0.012002602,-0.8696259,1
-0.8572253,0.18434261,-0.76147145,1
-0.83975303,0.019601181,-0.88160026,0
-0.7619205,0.4701435,-0.7595465,1
-0.859041,0.0139929205,-0.8265345,1
-0.8405014,0.11217269,-0.84745276,0
0.36174798,-0.43027472,-0.70156425,2
-0.8403858,-0.05199428,-0.8929669,0
0.0442093,0.66802365,-0.86436206,2
-0.7683139,0.4170618,-0.7653721,1
-0.6800678,0.488249,-0.78725594,1
-0.7416115,0.31324923,-0.7831356,1
-0.53418195,0.544693,-0.8233764,1
-0.16131169,-0.30191302,-0.86701065,2
-0.8069128,0.26206106,-0.76620024,1
-0.51585567,0.72008246,-0.7996716,2
-0.66274893,0.4974192,-0.8087723,1
-0.0748094,0.6765212,-0.9072061,2
-0.6899909,0.23788992,-0.88419706,0
-0.8676306,-0.015856266,-0.859078,0
-0.92863905,-0.16957659,-0.8797647,0
-0.8498776,0.17215005,-0.8096375,1
-0.51541525,0.54997003,-0.8593583,0
-0.9403712,-0.27379107,-0.89844817,0
