0,1,2,3,4,5,6,label
-0.28735372,0.7320879,-0.48907042,-0.9535814,-0.3182811,-0.07674899,0.15403502,2
-0.84539866,0.22286189,-0.08727375,-0.96577865,0.025660694,-0.10118988,-0.0050984323,1
-0.39537436,0.6507517,-0.45929232,-0.9538774,-0.31904572,-0.078678936,0.12703817,1
-0.840044,0.04864946,-0.512208,-0.9531008,-0.20768422,-0.08745496,0.08082484,0
-0.8028848,0.2280658,-0.08323124,-0.9651341,0.07877749,-0.0998505,0.0043848082,1
-0.9359386,-0.12424147,-0.55479056,-0.951936,-0.079828545,-0.09091113,0.051127538,0
-0.7696183,0.28172535,-0.19732845,-0.9595054,-0.10305362,-0.09180664,0.008879676,1
-0.9328492,-0.12595618,-0.5094595,-0.9513062,-0.01747813,-0.090454906,0.031461503,0
-0.8174166,0.21216503,-0.25424957,-0.96040463,-0.10512067,-0.09208769,0.053739984,1
-0.5048882,0.17469835,-0.8307662,-0.94403756,-0.18666932,-0.08098896,0.12750812,2
-0.8111261,-0.04359716,-0.74160725,-0.948067,-0.16179638,-0.08134268,0.14530697,0
-0.9099027,-0.04344693,-0.58823365,-0.95081306,-0.18852304,-0.084769025,0.0893441,0
-0.7017994,0.5159836,-0.11801952,-0.9625203,-0.22222465,-0.082403,0.10555946,0
-0.63782644,0.6209065,-0.12665084,-0.9643014,-0.24564557,-0.08310977,0.11862156,1
-0.7735482,0.26949352,-0.34201002,-0.95757204,-0.21350816,-0.08632409,0.07581963,1
-0.21293229,0.63991237,-0.5487946,-0.9520807,-0.18246228,-0.081129394,0.15079685,2
-0.6793784,0.6122401,0.2324928,-0.9710815,0.035394996,-0.09230075,0.045558885,1
0.032815933,0.4901303,-0.68702567,-0.94802773,0.0467249,-0.09219141,0.04115153,2
-0.37977794,0.53468037,-0.6575984,-0.9481623,-0.30902195,-0.07734143,0.119936414,2
0.27531314,0.29660514,-0.1915117,-0.96270627,0.37239778,-0.09695274,0.21239756,2
0.7499578,-0.65936416,0.11084604,-0.99000174,-0.6930719,-0.079976425,-0.19437408,2
-0.25391662,0.5317639,-0.43784744,-0.9562784,0.12042791,-0.08528381,0.24324247,2
-0.8422542,-0.020498782,-0.5932532,-0.95150715,-0.1424016,-0.08710298,0.07479717,1
-0.36358508,0.4561691,-0.5635127,-0.9512368,-0.24498375,-0.084316686,0.061494105,2
-0.8475543,0.4128497,0.19475889,-0.9673993,0.082645625,-0.092672974,-0.006099701,1
-0.69834054,0.22926845,-0.36489037,-0.95461416,-0.037183553,-0.079317816,0.19444233,1
-0.86548966,0.18091056,-0.07589528,-0.9493487,0.15228003,-0.06964884,0.11353949,0
-0.88258505,-0.042241186,-0.6283816,-0.9491062,-0.216667,-0.08187787,0.10882897,0
-0.046571553,0.47081733,-0.4104607,-0.957934,-0.088035144,-0.086176984,0.07876992,2
-0.89523786,-0.09238717,-0.52549845,-0.9478096,-0.046518035,-0.078210436,0.1191729,0
-0.3968832,0.5519136,-0.5548505,-0.95185804,-0.2552173,-0.07982579,0.12553379,1
-0.7973966,0.2550992,-0.16647881,-0.95957386,-0.0077978075,-0.087775126,0.048839238,1
0.52853626,-0.03292024,0.16802478,-0.9806024,0.29517475,-0.07811085,0.45087916,2
-0.70169115,-0.124424845,-0.8614352,-0.94405484,-0.052005082,-0.08526008,0.122220285,0
-0.104109675,0.7081469,-0.7312125,-0.94482946,-0.25101173,-0.07926264,0.056735016,2
