0,1,2,label
0.38688368,0.6256079,-0.1548723,0
-0.50655204,-0.13288489,0.4528581,2
0.49303707,-0.14484827,0.584585,0
-0.76996696,-0.2815051,0.5997708,2
0.28988633,-0.30775207,0.5732027,1
0.3512865,0.29332915,0.3665827,1
0.35808933,0.02552671,-0.30979282,1
-0.13468507,-0.28204793,-0.14212689,1
-0.31178075,-0.57857245,-0.25771433,2
0.72820854,-0.27536684,0.29406452,1
0.6551107,-0.6492042,-0.009901039,1
-0.6138899,-0.18762967,0.6329663,2
0.20981343,-0.18431695,0.69424856,1
0.68899643,-0.25011203,0.07783009,0
-0.39381665,-0.016578136,0.46690172,2
-0.5842165,-0.068888485,0.5163875,2
-0.53166217,-0.77797496,-0.45008743,2
0.2383525,0.21196857,-0.50173944,0
-0.16166484,-0.14011933,-0.21652457,2
0.050584897,0.075019464,-0.53503656,2
0.59407014,0.09824251,-0.028974332,1
0.327291,-0.0144788455,0.78485703,1
0.41185367,-0.6165494,-0.18099731,1
0.5976758,-0.61928165,-0.068983,1
0.3338913,0.11584902,-0.39774373,0
0.36061662,0.49037445,0.20691776,0
0.15710224,0.3690852,0.13065137,0
-0.23068854,-0.50096464,-0.5090719,2
0.44329977,0.57221735,0.11437826,1
0.5208591,-0.13253823,0.5831417,0
-0.33636314,-0.7207738,-0.70259243,2
0.55698085,-0.3805787,0.09910004,1
0.3768079,0.13489558,-0.1294824,1
-0.1845716,-0.27745914,-0.20001204,2
0.86069936,-0.4118684,0.2088048,1
0.27513292,0.7340684,0.16990192,0
0.34253025,0.30098835,0.39657056,0
0.49642274,-0.3006268,0.16713864,1
0.6649743,-0.5037539,0.123439044,1
0.24727927,0.3274951,0.23835856,0
-0.14710423,-0.3506145,-0.074913554,2
0.81073433,-0.06869,0.22902799,0
0.807849,-0.3546224,0.2059343,0
-0.66675794,-0.525385,-0.072399236,2
0.4010942,-0.124995455,0.8386275,0
-0.045538157,0.84529454,0.36133555,0
0.872625,-0.101955906,0.75195813,1
0.4445754,-0.555278,-0.07348838,1
0.75360715,-0.5305451,0.06422911,1
-0.56108207,-0.6391231,-0.015550911,2
-0.60616183,-0.16604507,0.6666402,2
0.4307269,-0.56095105,-0.11777046,1
0.52307814,-0.12669352,0.52888906,1
-0.64411575,-0.019916726,0.7522942,2
-0.034273148,0.34928688,0.1383527,2
-0.06255928,-0.18417849,-0.33609957,1
0.699155,-0.42565623,0.16340016,1
0.011082232,0.6258686,0.35805753,0
0.36830935,0.13068637,-0.5041428,1
-0.0026556998,0.45263568,0.08305871,2
0.7825331,-0.5753354,0.11113962,0
0.14300174,0.10345822,-0.25810924,1
0.14303197,0.1960431,-0.43423134,2
0.6112919,-0.27948686,0.19398095,1
-0.024243742,0.14430632,0.15140522,2
0.4752468,0.106555074,-0.1443526,0
0.20698164,0.4148625,0.13301349,0
0.041762084,0.46813533,-0.023341183,2
0.39307278,0.41755474,-0.3716187,0
0.22472678,-0.016236246,-0.57720274,1
0.94715744,-0.23412846,0.24074863,1
0.47693783,0.2987412,-0.48413634,0
0.5830383,-0.26324087,0.27354974,1
0.43188518,0.32527494,-0.23505306,0
-0.526041,-0.0044637863,0.44860095,2
0.4265967,0.06899738,-0.2154218,0
0.02489397,0.5954905,0.15805218,1
-0.06951654,0.41990057,0.12534627,2
-0.15102133,-0.40049857,-0.1904671,2
0.862423,-0.43526715,0.17807326,0
0.059371784,0.029151838,-0.48066086,1
0.523703,-0.16482794,0.39322895,1
-0.71717715,-0.096344665,0.8292408,2
0.66860354,-0.35496402,0.13279426,1
0.16354218,0.60416096,0.2886907,0
0.37526733,0.28982216,0.23022084,0
0.25893927,0.23443967,-0.36301255,2
0.60533607,-0.15355702,0.5809014,1
0.76937515,-0.40228826,0.16220352,1
