0,1,2,label
0.37958658,0.69813156,-0.18402314,0
-0.5054538,-0.03796321,0.47069055,2
0.48986936,-0.040492862,0.5776575,0
-0.7736865,-0.16952442,0.6350074,2
0.28419924,-0.19931066,0.5828776,1
0.34461987,0.38842282,0.34912968,1
0.3585467,0.078725494,-0.33865768,0
0.5725606,0.20146988,0.7240957,0
0.28242627,0.40133995,0.034421615,0
0.22317913,0.7542898,-0.011473056,0
0.35812616,-0.0943038,0.46617696,1
0.3459236,0.11161469,-0.2996277,1
-0.14132822,-0.18557984,-0.10739346,1
-0.3212806,-0.48459435,-0.21995363,2
0.72531325,-0.17869104,0.28707972,1
0.6480433,-0.55225873,0.0040578917,1
0.33375362,0.26712984,-0.2629889,1
0.26040432,0.41014746,0.1847872,0
-0.6176843,-0.10659541,0.6274487,2
0.28316885,0.18424289,-0.5343851,1
0.7367293,0.20949695,0.6425139,1
0.683534,-0.16495399,0.06359248,0
-0.39495164,0.088852525,0.4928079,2
-0.5439059,-0.68618983,-0.4015202,2
0.22904776,0.27993602,-0.508477,0
-0.57146114,-0.4892742,0.05281288,2
-0.17437267,-0.06385204,-0.21351716,2
0.03193921,0.14010161,-0.54012674,2
0.32869422,0.08624014,0.8060254,1
0.40214777,-0.5238668,-0.16500436,1
0.5887071,-0.52332234,-0.051845886,1
0.32077956,0.18628614,-0.41593468,0
0.35719404,0.5833048,0.18811372,0
0.14977331,0.44466826,0.13799374,0
-0.24788302,-0.45562726,-0.49880576,2
0.4467401,0.6457824,0.06403952,1
0.5172361,-0.027959071,0.57614267,0
-0.73209053,-0.18983795,0.41880283,2
-0.35824335,-0.6798347,-0.6833407,2
0.5468478,-0.28749594,0.09738213,1
0.2083721,0.18175252,-0.39349407,2
-0.20150712,-0.22887889,-0.1975595,2
0.043635413,0.06708818,-0.30685428,2
0.8577582,-0.31101647,0.21367821,1
0.27151567,0.8112823,0.13437867,0
0.3352018,0.40191585,0.38018462,0
0.4872987,-0.20844996,0.16144548,1
0.3187552,0.26852745,-0.49304795,0
0.24072985,0.42162713,0.23185715,0
-0.15230405,-0.25005412,-0.03232865,2
0.80994827,0.038685933,0.22625525,0
0.8032787,-0.25902325,0.20044401,0
-0.6704412,-0.4258386,-0.033311687,2
0.40159154,-0.014449149,0.83539295,0
-0.041954428,0.91777956,0.34222892,0
0.8764896,0.0035544708,0.73898894,1
0.43243897,-0.46345758,-0.06561193,1
-0.5671084,-0.5357644,0.031792335,2
0.421515,-0.46587467,-0.101996824,1
-0.6416462,0.09093869,0.7710374,2
-0.047224224,0.39502636,0.11387303,2
-0.07256195,-0.099007025,-0.31673142,1
0.6961756,-0.3255699,0.1723248,1
0.009664565,0.7078971,0.33672863,0
0.8786052,-0.23500857,0.22716118,0
0.35507146,0.20249695,-0.5091569,1
0.044605568,0.42129984,-0.08825822,2
0.26310733,0.7816227,0.0051528327,1
-0.011954561,0.5252359,0.061604988,2
0.77797353,-0.47441906,0.12537234,0
0.13162497,0.17771316,-0.23049119,1
0.13110246,0.2611955,-0.44943652,2
0.6047773,-0.18100709,0.19504115,1
-0.024984345,0.26371458,0.1456953,2
0.59994006,-0.34479842,-0.104371384,1
0.4665426,0.1970146,-0.13608593,0
0.2891168,0.2880841,-0.12710416,0
0.38306922,0.49049255,-0.38767308,0
0.20632686,0.06713568,-0.55580217,1
0.94730335,-0.14312206,0.21956313,1
0.47257042,0.3641268,-0.5107267,0
0.5826593,-0.16630419,0.27106947,1
0.050133422,0.023894973,-0.69388443,2
0.4239155,0.40041742,-0.2517743,0
0.5034547,0.46789205,-0.2817097,0
-0.53427404,0.0887143,0.4563189,2
0.414417,0.15744668,-0.20559706,0
0.02128993,0.67099065,0.13836409,1
-0.0802488,0.49452373,0.108019665,2
-0.158281,-0.3030941,-0.14809592,2
0.25530496,0.67038417,0.011408521,0
0.39094114,0.5045083,-0.32620886,1
0.85824484,-0.3347642,0.18516427,0
0.048574165,0.10359499,-0.47983038,1
0.3235237,0.52800405,0.21022889,0
0.43573862,0.500345,-0.027645878,1
-0.71737325,0.017937556,0.8573577,2
0.6636161,-0.25694486,0.13427585,1
0.1650781,0.6836651,0.24039842,0
0.46518388,-0.31689122,0.025183864,1
0.54655683,0.020718116,0.6379146,1
0.79250735,-0.32712302,0.21912405,0
0.36564177,0.3843969,0.22891496,0
0.24901211,0.30300707,-0.3806564,2
0.60235,-0.04850419,0.5745076,1
0.68441474,-0.42799217,0.15448052,1
0.7700674,-0.30691501,0.16292185,1
-0.2851383,0.35871547,0.3818899,2
0.19711673,0.26653194,-0.42431867,2
-0.3043695,-0.30841213,-0.21430895,2
0.6804403,0.09663783,0.5816589,1
0.62474334,-0.2006261,0.031363077,1
0.45038426,0.18044338,-0.25575745,0
0.5866054,-0.33274528,0.14562535,0
0.6423068,-0.2500267,0.24732858,1
0.7825023,-0.113127455,0.5057564,0
0.30788094,0.45653817,0.2842557,0
0.56592906,-0.3667528,-0.045945287,1
0.26536584,0.23095573,-0.62656546,1
0.5478186,0.100839496,0.81563395,1
0.17441739,0.3047453,-0.43253356,2
-0.31870788,-0.045370393,0.30247116,2
0.26225045,0.49536347,0.23838487,0
0.56001544,-0.024916045,0.18975192,0
0.34256613,0.3789373,-0.009961668,1
0.45529377,0.5181347,0.16884065,0
0.049557805,0.14806598,-0.6846652,1
0.41063368,-0.32301086,0.6394757,0
0.6320995,-0.012910977,0.3976953,1
0.8556609,-0.22678119,0.24435216,1
-0.0939458,-0.17354307,-0.039026022,2
