0,1,2,3,label
-0.28815466,0.7921602,-0.9298776,-0.7179324,2
-0.8393474,0.12710202,-0.9012935,-0.7707209,1
-0.76530266,0.53228796,-0.85484964,-0.8488617,1
-0.3965459,0.7043074,-0.9258692,-0.7238464,1
-0.8401105,0.07299666,-0.934105,-0.7112834,0
-0.7721231,0.32040843,-0.8888678,-0.7850422,1
-0.93184745,-0.107643425,-0.9317543,-0.7117222,0
-0.8210896,0.248906,-0.8981223,-0.77454185,1
-0.5001044,0.20680217,-0.97703856,-0.6362822,2
-0.8084497,-0.02657175,-0.96604055,-0.6588315,0
-0.7089853,0.5676872,-0.878628,-0.8042249,0
-0.21262637,0.69971526,-0.937894,-0.70494705,2
0.22565883,-0.35154116,-0.85333574,-0.8791368,2
-0.6882139,0.67396504,-0.8285321,-0.8900078,1
-0.7712258,0.44988555,-0.8675356,-0.82863426,1
-0.37821847,0.58301723,-0.95276815,-0.67659706,2
0.27707338,0.3565321,-0.8855777,-0.7969072,2
-0.029721528,0.3328766,-0.92426574,-0.72670686,2
-0.84080327,-0.0011940002,-0.94535595,-0.6932246,1
-0.36118168,0.50212693,-0.9398832,-0.70022166,2
-0.8563887,0.46359885,-0.83201337,-0.8781713,1
-0.7013387,0.2681943,-0.9101319,-0.7456524,1
-0.8732842,0.21758392,-0.8585137,-0.80366963,0
-0.8157529,0.399289,-0.86221105,-0.83739775,1
-0.8818668,-0.023645759,-0.94959974,-0.68271923,0
-0.8221326,0.19391534,-0.88647103,-0.79475594,1
0.17947459,-0.2835093,-0.8875365,-0.81825566,2
-0.894498,-0.071189314,-0.9310699,-0.70526093,0
-0.39765912,0.6029714,-0.93913436,-0.70244694,1
-0.3742829,0.3396345,-0.9197016,-0.7127839,0
-0.8011162,0.2942305,-0.8831229,-0.79365283,1
0.1989789,-0.12800992,-0.93122375,-0.7344164,2
-0.69621843,-0.109811306,-0.9816955,-0.63029003,0
-0.8807943,-0.058902144,-0.9467216,-0.68937916,0
-0.68605864,0.5054346,-0.896106,-0.7774159,1
-0.87128127,0.1606617,-0.89780736,-0.7729412,1
-0.046634763,0.3805978,-0.9566433,-0.6735731,2
-0.80891347,0.23328975,-0.8975203,-0.7775458,1
-0.040123492,0.64179784,-0.9626892,-0.6594682,2
-0.5506259,-0.10544762,-0.977052,-0.6374694,0
0.12843162,0.5893309,-0.9556724,-0.6706882,2
-0.52303857,0.6896986,-0.9046294,-0.7619527,1
-0.8960769,0.11404997,-0.9100473,-0.7514863,0
-0.8892729,-0.1123389,-0.9549197,-0.6763079,1
-0.8496567,0.021677256,-0.92986345,-0.7185539,1
-0.71247375,0.29621467,-0.9373014,-0.70535225,0
-0.116821736,0.7464855,-0.9658954,-0.6520965,2
-0.8110508,0.25529665,-0.89884484,-0.77357054,1
0.08778787,0.841509,-0.9251515,-0.7300729,2
-0.29590678,0.051590815,-0.9911825,-0.61279553,0
-0.83141583,0.18845746,-0.9075356,-0.7593941,1
-0.80831975,0.26520622,-0.8910966,-0.7880762,1
-0.7810597,0.33071795,-0.9060423,-0.7586276,0
-0.7872875,0.61500096,-0.83601856,-0.88252515,1
-0.7396268,0.12606029,-0.9400837,-0.687596,0
-0.85298115,0.17872173,-0.8902959,-0.7910049,1
-0.076975524,0.05580248,-0.9471016,-0.69794,0
-0.4981795,0.58941036,-0.91198504,-0.74842995,1
-0.2152875,0.66334796,-0.9170042,-0.73981243,2
-0.2106441,0.6283787,-0.95461434,-0.6687921,2
-0.80427444,0.2872465,-0.88478863,-0.7975242,1
-0.033360004,0.5780268,-0.9606453,-0.66159976,2
-0.79043454,0.23718478,-0.9193284,-0.7373911,1
-0.8533264,0.24161914,-0.8850113,-0.7924731,0
-0.72871256,0.000977844,-0.96487314,-0.6556048,0
-0.61310256,0.122845754,-0.9742072,-0.64214694,0
-0.07209724,0.1743744,-0.9296825,-0.7192747,2
-0.75986934,0.2933809,-0.9059334,-0.7610422,1
-0.35647753,0.6899806,-0.9426724,-0.6946158,2
-0.40532044,0.81226945,-0.89517426,-0.7758877,1
-0.80082095,0.25258273,-0.88741916,-0.79204553,0
-0.6167222,0.029859424,-0.9895358,-0.6180661,0
-0.80625033,0.1324472,-0.9237817,-0.73107064,1
-0.85753405,0.30224526,-0.8568727,-0.8349101,1
-0.6380436,0.30158418,-0.9483075,-0.6862753,1
-0.83764315,0.14066096,-0.9297306,-0.71328413,0
-0.7602547,0.5796654,-0.85888034,-0.8427111,1
-0.8375925,0.23160703,-0.9104608,-0.7517671,0
0.36187512,-0.31173837,-0.82075965,-0.92104244,2
-0.8370993,0.0689076,-0.9377576,-0.7060875,0
0.052227378,0.7538387,-0.9186673,-0.73978007,2
-0.6776402,0.5949365,-0.875088,-0.8128816,1
-0.7400877,0.4254377,-0.87237597,-0.81948763,1
-0.15923992,-0.1773926,-0.9228473,-0.74687123,2
-0.7716073,0.27850112,-0.9120216,-0.7479956,1
-0.8058318,0.37646854,-0.8623624,-0.8395611,1
-0.6600512,0.603692,-0.88758355,-0.79266953,1
-0.06867027,0.77186596,-0.9448418,-0.6899225,2
-0.866557,0.10689467,-0.91747963,-0.7403655,0
-0.9273278,-0.041322857,-0.9294714,-0.7197689,0
-0.84915054,0.28857142,-0.88821346,-0.793709,1
-0.51182395,0.6520367,-0.9171108,-0.7404165,0
-0.93917036,-0.14222917,-0.9396768,-0.7001675,0
-0.69625056,0.5813018,-0.8854694,-0.79539925,1
0.20965564,0.42052048,-0.9428761,-0.6991422,2
-0.4776392,0.51964754,-0.9428401,-0.6973074,2
-0.24252792,-0.18787852,-0.9413407,-0.7147324,2
-0.8217958,0.21891586,-0.8527177,-0.822652,1
-0.18125448,-0.16682377,-0.91374713,-0.75935775,0
0.6300938,0.16229977,-0.89560264,-0.7992826,2
-0.5654091,0.49148363,-0.9037065,-0.7679234,0
-0.7132491,0.3389382,-0.90012616,-0.7724636,1
-0.6854389,0.5344213,-0.89363086,-0.7780399,0
-0.83682317,0.3053944,-0.8756534,-0.81569713,1
-0.9418625,-0.17904791,-0.9442113,-0.69000113,0
0.6356902,-0.06403062,-0.85679257,-0.8788265,2
-0.6636966,0.4077316,-0.9167374,-0.7412311,0
-0.16660285,0.5973986,-0.961134,-0.6622309,2
-0.28412908,0.76021636,-0.9429677,-0.6940846,2
-0.34213936,0.12488033,-0.9352469,-0.699636,0
0.39005774,0.085223824,-0.9297201,-0.7338796,2
-0.88230443,0.019840121,-0.936883,-0.7048072,0
-0.25257778,0.6052405,-0.9436353,-0.6946777,1
-0.22969566,0.41732037,-0.96918774,-0.6489361,2
-0.23720017,0.20446834,-0.987051,-0.61717767,2
0.4119776,-0.2798242,-0.8782995,-0.840042,2
-0.78125054,0.090598375,-0.95640975,-0.6703406,0
-0.8595621,-0.023521632,-0.95143706,-0.681807,0
0.52142245,-0.43675596,-0.8956406,-0.810327,2
-0.8802366,0.17382687,-0.88394994,-0.79904133,1
-0.8318949,0.24424554,-0.6732856,-0.6162365,1
0.01619038,0.7794003,-0.9396989,-0.7000348,2
0.3350221,-0.26552564,-0.8596534,-0.8614483,2
-0.3102585,0.17729042,-0.93139094,-0.71675825,0
0.73031676,-0.16533983,-0.8090316,-0.9462552,2
-0.80169934,0.24740846,-0.8897536,-0.789109,1
0.23245698,-0.22815412,-0.88343775,-0.8268393,2
-0.66446275,0.50887686,-0.8932321,-0.7785641,0
-0.9308884,-0.09162393,-0.9272817,-0.71677893,0
-0.72047234,0.39978492,-0.88966346,-0.7877429,1
0.067299366,0.51087195,-0.9180282,-0.73993737,2
-0.8528279,0.20376569,-0.9107754,-0.7539511,1
-0.75240576,0.2828616,-0.90082115,-0.75112844,0
-0.842263,0.21832907,-0.8799993,-0.80549467,1
-0.83031,0.2846564,-0.8759922,-0.81403595,1
-0.6993888,0.4585827,-0.87983376,-0.8041669,1
-0.3563301,0.8949841,-0.91159904,-0.749618,2
-0.77745926,0.24338396,-0.91970885,-0.7319996,0
-0.3193518,0.6476786,-0.9445509,-0.69330037,2
-0.71264255,0.4360797,-0.8814781,-0.8014085,1
-0.8909287,0.058536187,-0.92371935,-0.7313711,0
-0.55920756,0.07839316,-0.9820595,-0.62635994,0
-0.8024837,0.3778766,-0.8361362,-0.81429595,0
-0.73639244,0.4601929,-0.88035464,-0.807858,1
-0.67658615,0.4600924,-0.8846287,-0.79889315,1
-0.94838715,0.011059046,-0.8877622,-0.76602924,0
-0.87434804,0.101730734,-0.9087317,-0.75625014,0
-0.6589334,0.5312189,-0.8919334,-0.7836182,0
0.17227733,0.44844404,-0.9330683,-0.7170285,2
-0.51736903,0.6834258,-0.8990379,-0.7740834,2
-0.51443136,0.2897793,-0.969989,-0.64863837,2
-0.77600306,0.33810395,-0.8890715,-0.7876626,1
0.18135071,0.70682806,-0.9476228,-0.68527037,2
-0.31603473,-0.34215826,-0.9123152,-0.76646453,0
-0.26095188,-0.7084348,-0.9277387,-0.7450818,0
-0.2713701,0.74280643,-0.93399835,-0.7132355,2
-0.097195774,0.63826513,-0.965664,-0.65315247,2
-0.4031472,0.20742661,-0.9669956,-0.6539729,0
-0.8239352,0.19366911,-0.88996476,-0.78957146,1
0.60019565,-0.26045948,-0.9017127,-0.8004831,2
-0.20857757,0.81037444,-0.9247806,-0.7278971,1
-0.36020717,0.5993086,-0.94680166,-0.68909436,2
